job_id,job_title,level,company,location,skill_required,skill_category,primary_skill,num_skills,min_salary,max_salary,avg_salary,experience_years,experience_level,industry,company_size,education_required,remote_policy,is_remote_friendly,demand_score,posted_days_ago,applicants_count,benefits,salary_per_year,salary_range
14,Financial Analyst,Senior,Company_Tech95,St. Louis,"GCP, MongoDB, TensorFlow, Azure",Cloud,GCP,4,89093,120538,104815.5,7,Senior,Energy,Medium (51-200),Bachelor's,On-site,0,80,29,127,"Free Lunch, Health Insurance, 401k",104816,31445
15,Financial Analyst,Mid,Company_Data50,Minneapolis,"Project Management, Kubernetes, TensorFlow, Scikit-learn, Keras",Soft Skills,Project Management,5,67263,91004,79133.5,3,Mid,Technology,Enterprise (1000+),Bachelor's,Hybrid,1,75,16,26,"Stock Options, Health Insurance, Unlimited PTO, Learning Stipend",79134,23741
16,Business Intelligence Analyst,Senior,Company_Data62,Dallas,"Beam, Project Management, PyTorch",Big Data,Beam,3,67740,91649,79694.5,5,Senior,Government,Medium (51-200),PhD,Remote,1,83,10,161,"Gym Membership, Tuition Reimbursement",79695,23909
17,Operations Analyst,Mid,Company_AI13,Denver,"Azure, Python, AWS, Leadership, MongoDB",Cloud,Azure,5,67740,91649,79694.5,5,Mid,Telecommunications,Medium (51-200),Bachelor's,Flexible,1,83,23,115,"Remote Work, 401k, Parental Leave",79695,23909
18,Data Analyst,Mid,Company_Tech30,San Diego,"Power BI, QlikView, GCP",BI Tools,Power BI,3,54060,73140,63600.0,2,Mid,Healthcare,Medium (51-200),High School + Certification,Hybrid,1,84,17,23,"Free Lunch, Unlimited PTO, Tuition Reimbursement",63600,19080
19,Healthcare Data Analyst,Mid,Company_Data84,Atlanta,"JavaScript, Docker, Storytelling, SQL, Deep Learning",Programming,JavaScript,5,85530,115717,100623.5,7,Mid,Finance,Medium (51-200),High School + Certification,Hybrid,1,76,14,163,"Unlimited PTO, Stock Options, Health Insurance",100623,30187
20,Database Administrator,Mid,Company_Digital34,Miami,"MySQL, Computer Vision, Metabase, Elasticsearch, Flink",Databases,MySQL,5,87964,119011,103487.5,4,Mid,Retail,Startup,Bachelor's,Flexible,1,73,10,117,"Stock Options, Gym Membership",103488,31047
21,Healthcare Data Analyst,Mid,Company_Analytics8,Boston,"MongoDB, Storytelling, Linear Algebra",Databases,MongoDB,3,67881,91839,79860.0,7,Mid,Manufacturing,Medium (51-200),Master's,On-site,0,81,21,99,"Health Insurance, Unlimited PTO, Stock Options, 401k",79860,23958
22,Operations Analyst,Senior,Company_AI63,Atlanta,"Azure, Communication, Agile, GCP, Metabase, Redis",Cloud,Azure,6,88245,119390,103817.5,7,Senior,Retail,Small (11-50),PhD,Flexible,1,83,17,116,"Parental Leave, 401k, Unlimited PTO, Health Insurance",103818,31145
23,Analytics Manager,Principal,Company_Cloud57,Portland,"AWS, Data Visualization, Metabase, Probability, Communication, LangChain",Cloud,AWS,6,93980,127149,110564.5,10,Principal,Media,Enterprise (1000+),PhD,On-site,0,70,10,168,"Remote Work, Stock Options",110565,33169
24,Healthcare Data Analyst,Senior,Company_Tech30,Philadelphia,"Power BI, Looker, Statistics, Scala, JavaScript, Kafka",BI Tools,Power BI,6,74192,100377,87284.5,5,Senior,Healthcare,Enterprise (1000+),Master's,Hybrid,1,74,7,103,"Free Lunch, Tuition Reimbursement, 401k, Stock Options",87285,26185
25,Marketing Analyst,Mid,Company_Cloud48,San Diego,"Data Visualization, MongoDB, PostgreSQL, Tableau",Data Analysis,Data Visualization,4,82321,111375,96848.0,7,Mid,Government,Startup,Bachelor's,Hybrid,1,92,14,116,"Tuition Reimbursement, Gym Membership, Unlimited PTO, Health Insurance",96848,29054
26,Financial Analyst,Mid,Company_Data58,Washington DC,"MongoDB, Kubernetes, Docker, Machine Learning",Databases,MongoDB,4,82938,112210,97574.0,4,Mid,Finance,Large (201-1000),Associate,On-site,0,83,5,93,"Tuition Reimbursement, Remote Work, Free Lunch, Parental Leave",97574,29272
27,Analytics Consultant,Mid,Company_Analytics38,Phoenix,"Spark, Terraform, Linear Algebra, Computer Vision",Big Data,Spark,4,99785,135003,117394.0,7,Mid,Insurance,Large (201-1000),Associate,On-site,0,95,24,40,"Learning Stipend, Parental Leave, Free Lunch",117394,35218
28,Healthcare Data Analyst,Senior,Company_Data41,Pittsburgh,"Julia, Hadoop, Data Visualization",Programming,Julia,3,59466,80454,69960.0,2,Senior,Entertainment,Startup,High School + Certification,Flexible,1,100,21,21,"401k, Gym Membership",69960,20988
29,ML Engineer,Senior,Company_Tech76,St. Louis,"Julia, Terraform, Kubernetes, SQL, QlikView, Probability",Programming,Julia,6,114945,155513,135229.0,2,Senior,Finance,Startup,PhD,On-site,0,77,13,136,"401k, Unlimited PTO, Remote Work, Gym Membership",135229,40568
30,Financial Analyst,Mid,Company_Analytics80,Los Angeles,"PyTorch, Probability, Java, Python, Storytelling",ML/AI,PyTorch,5,64206,86867,75536.5,3,Mid,Technology,Large (201-1000),Bachelor's,Remote,1,69,20,55,"401k, Remote Work, Unlimited PTO",75537,22661
31,Computer Vision Engineer,Mid,Company_Analytics19,Raleigh,"Python, Storytelling, Leadership, Agile, Deep Learning",Programming,Python,5,95897,129743,112820.0,7,Mid,Government,Startup,PhD,Remote,1,98,19,189,"Health Insurance, Remote Work, Tuition Reimbursement, Free Lunch",112820,33846
32,Data Product Manager,Lead,Company_AI4,Miami,"PostgreSQL, Elasticsearch, Airflow, SQL",Databases,PostgreSQL,4,88536,119783,104159.5,8,Lead,Finance,Large (201-1000),Associate,On-site,0,73,23,73,"Gym Membership, Unlimited PTO",104160,31247
33,Analytics Consultant,Mid,Company_Cloud56,New York,"Excel, Keras, Azure, Beam, Hive, C++",Data Analysis,Excel,6,59466,80454,69960.0,2,Mid,Technology,Startup,Bachelor's,Remote,1,69,9,22,"401k, Stock Options, Health Insurance",69960,20988
34,Business Analyst,Mid,Company_Data50,Phoenix,"PostgreSQL, RAG, Kafka, PyTorch",Databases,PostgreSQL,4,56977,77086,67031.5,4,Mid,Finance,Large (201-1000),PhD,Remote,1,85,2,175,"Unlimited PTO, Learning Stipend, 401k, Stock Options",67032,20109
35,ML Engineer,Mid,Company_Cloud15,Atlanta,"Java, LLM, RAG",Programming,Java,3,115706,156543,136124.5,7,Mid,Media,Medium (51-200),Associate,Flexible,1,96,29,96,"Health Insurance, Learning Stipend",136125,40837
36,Healthcare Data Analyst,Senior,Company_Tech66,San Francisco,"AWS, C++, QlikView, Hive",Cloud,AWS,4,72983,98742,85862.5,6,Senior,Education,Large (201-1000),Associate,On-site,0,78,7,164,"Gym Membership, 401k, Unlimited PTO, Stock Options",85862,25759
37,Data Scientist,Mid,Company_Cloud67,Chicago,"Jenkins, Kafka, QlikView, LLM, Machine Learning",Cloud,Jenkins,5,87939,118977,103458.0,5,Mid,Finance,Enterprise (1000+),PhD,Remote,1,94,17,120,"Parental Leave, Remote Work, Stock Options",103458,31038
38,Data Analyst,Mid,Company_Digital46,Austin,"QlikView, Machine Learning, Metabase, Tableau, Project Management",BI Tools,QlikView,5,58369,78970,68669.5,3,Mid,Media,Startup,Master's,Remote,1,88,17,150,"Health Insurance, Parental Leave, Unlimited PTO",68670,20601
39,Data Engineer,Senior,Company_Data30,Boston,"Airflow, C++, QlikView, Communication, Agile, Docker",Big Data,Airflow,6,90333,122216,106274.5,3,Senior,Energy,Startup,Master's,Flexible,1,92,24,197,"Tuition Reimbursement, Gym Membership, Stock Options, Free Lunch",106275,31883
40,Analytics Consultant,Mid,Company_AI4,Washington DC,"Deep Learning, RAG, Data Visualization",ML/AI,Deep Learning,3,62439,84476,73457.5,2,Mid,Energy,Large (201-1000),Associate,Remote,1,81,16,76,"Gym Membership, Health Insurance, Stock Options",73458,22037
41,Data Engineer,Mid,Company_Cloud32,Miami,"Docker, Power BI, Storytelling, C++, Excel, Scala",Cloud,Docker,6,100245,135626,117935.5,4,Mid,Retail,Startup,PhD,On-site,0,85,6,179,"Tuition Reimbursement, Learning Stipend",117936,35381
42,Healthcare Data Analyst,Senior,Company_Tech73,Chicago,"PyTorch, Metabase, Beam",ML/AI,PyTorch,3,69272,93721,81496.5,4,Senior,Entertainment,Medium (51-200),Associate,Remote,1,90,22,120,"Learning Stipend, 401k",81496,24449
43,Analytics Manager,Lead,Company_Digital90,Pittsburgh,"QlikView, Redis, Hadoop, Keras, TensorFlow",BI Tools,QlikView,5,96149,130083,113116.0,11,Lead,Finance,Startup,Bachelor's,Hybrid,1,80,29,121,"Remote Work, Free Lunch",113116,33934
44,Data Engineer,Mid,Company_Tech20,Raleigh,"SQL, QlikView, Data Visualization, Scala",Programming,SQL,4,76245,103154,89699.5,5,Mid,Healthcare,Small (11-50),Bachelor's,Flexible,1,69,22,126,"Parental Leave, Tuition Reimbursement",89700,26909
45,Data Engineer,Mid,Company_Digital62,Miami,"R, Kafka, Cassandra, Terraform",Programming,R,4,72267,97772,85019.5,3,Mid,Finance,Startup,Bachelor's,Flexible,1,85,25,190,"Stock Options, Learning Stipend",85020,25505
46,Supply Chain Analyst,Senior,Company_Tech72,Washington DC,"Airflow, Agile, Deep Learning, Redis, Data Visualization",Big Data,Airflow,5,71275,96430,83852.5,7,Senior,Real Estate,Enterprise (1000+),High School + Certification,Hybrid,1,97,5,196,"Remote Work, Health Insurance",83853,25155
47,Analytics Manager,Principal,Company_Cloud14,Miami,"MongoDB, RAG, Kubernetes, Agile, R, Azure",Databases,MongoDB,6,87293,118102,102697.5,5,Principal,Energy,Small (11-50),Master's,On-site,0,69,26,169,"401k, Unlimited PTO",102697,30809
48,Data Engineer,Mid,Company_Cloud5,New York,"Docker, JavaScript, Azure, QlikView",Cloud,Docker,4,75880,102661,89270.5,3,Mid,Government,Small (11-50),High School + Certification,Hybrid,1,67,1,165,"Health Insurance, Unlimited PTO",89271,26781
49,AI Research Scientist,Mid,Company_AI14,Austin,"TensorFlow, MySQL, LangChain, R",ML/AI,TensorFlow,4,92962,125773,109367.5,4,Mid,Telecommunications,Small (11-50),High School + Certification,On-site,0,71,28,164,"Free Lunch, Parental Leave, Unlimited PTO, Learning Stipend",109368,32811
50,Data Architect,Mid,Company_AI2,Detroit,"Julia, Java, Hadoop, Statistics, PyTorch",Programming,Julia,5,93953,127113,110533.0,7,Mid,Media,Enterprise (1000+),Bachelor's,Remote,1,72,30,145,"Parental Leave, Tuition Reimbursement, Stock Options, Remote Work",110533,33160
51,Financial Analyst,Senior,Company_Cloud25,Washington DC,"Redis, Data Visualization, Kubernetes, Probability, Deep Learning, LangChain",Databases,Redis,6,70966,96013,83489.5,5,Senior,Insurance,Large (201-1000),High School + Certification,Remote,1,84,9,122,"Health Insurance, Unlimited PTO, Learning Stipend",83490,25047
52,Analytics Manager,Manager,Company_AI61,San Diego,"Communication, Linear Algebra, Kubernetes, Scikit-learn, Data Visualization, Terraform",Soft Skills,Communication,6,85305,115412,100358.5,6,Manager,Energy,Small (11-50),Associate,On-site,0,87,27,28,"Stock Options, Unlimited PTO, Free Lunch",100359,30107
53,Marketing Analyst,Senior,Company_Data6,Pittsburgh,"GCP, RAG, Machine Learning",Cloud,GCP,3,71534,96781,84157.5,7,Senior,Entertainment,Enterprise (1000+),High School + Certification,Hybrid,1,84,27,100,"Health Insurance, Parental Leave, Tuition Reimbursement, Stock Options",84157,25247
54,ML Engineer,Senior,Company_Data10,Portland,"Storytelling, QlikView, Tableau",Soft Skills,Storytelling,3,85144,115195,100169.5,2,Senior,Government,Small (11-50),PhD,Hybrid,1,61,23,44,"Free Lunch, Parental Leave",100170,30051
55,ML Engineer,Mid,Company_Tech100,Detroit,"AWS, MySQL, Linear Algebra, Jenkins, Julia, Cassandra",Cloud,AWS,6,97193,131496,114344.5,7,Mid,Energy,Enterprise (1000+),High School + Certification,On-site,0,85,17,11,"401k, Unlimited PTO",114345,34303
56,Database Administrator,Senior,Company_Analytics50,San Diego,"Metabase, Tableau, Airflow, SQL, AWS, Project Management",BI Tools,Metabase,6,74838,101252,88045.0,7,Senior,Technology,Small (11-50),PhD,Flexible,1,79,26,42,"Learning Stipend, Tuition Reimbursement, Parental Leave, 401k",88045,26414
57,Marketing Analyst,Senior,Company_Tech72,Raleigh,"Keras, GCP, Statistics",ML/AI,Keras,3,59611,80651,70131.0,7,Senior,Retail,Startup,High School + Certification,On-site,0,72,7,42,"Stock Options, Gym Membership, Parental Leave",70131,21040
58,Computer Vision Engineer,Senior,Company_Analytics15,New York,"Hive, JavaScript, Excel, Java, Leadership",Big Data,Hive,5,88764,120093,104428.5,4,Senior,Entertainment,Large (201-1000),PhD,Hybrid,1,100,18,67,"Free Lunch, Tuition Reimbursement, 401k, Learning Stipend",104428,31329
59,Analytics Manager,Lead,Company_Tech59,Phoenix,"Leadership, Azure, Kafka, AWS, Project Management, Java",Soft Skills,Leadership,6,113716,153851,133783.5,7,Lead,Government,Small (11-50),High School + Certification,Flexible,1,82,28,154,"Parental Leave, 401k, Stock Options, Gym Membership",133783,40135
60,Analytics Manager,Lead,Company_Analytics26,Boston,"JavaScript, MySQL, Scikit-learn, Statistics, Leadership",Programming,JavaScript,5,93635,126683,110159.0,12,Lead,Transportation,Medium (51-200),Associate,Remote,1,77,15,43,"Tuition Reimbursement, Health Insurance",110159,33048
61,NLP Engineer,Senior,Company_AI99,Phoenix,"Docker, Hive, Agile, Project Management, Looker, PostgreSQL",Cloud,Docker,6,102146,138198,120172.0,3,Senior,Government,Enterprise (1000+),Bachelor's,On-site,0,95,19,151,"401k, Free Lunch, Learning Stipend",120172,36052
62,Data Engineer,Senior,Company_AI29,Los Angeles,"GCP, PyTorch, Java, Deep Learning, Looker",Cloud,GCP,5,106186,143663,124924.5,4,Senior,Finance,Large (201-1000),Associate,On-site,0,99,22,42,"Remote Work, Unlimited PTO, Stock Options",124924,37477
63,Analytics Consultant,Mid,Company_Data25,Miami,"Power BI, Probability, Machine Learning, Linear Algebra",BI Tools,Power BI,4,72983,98742,85862.5,6,Mid,Real Estate,Medium (51-200),High School + Certification,Hybrid,1,75,8,76,"401k, Stock Options, Tuition Reimbursement, Learning Stipend",85862,25759
64,Data Analyst,Senior,Company_Tech12,Minneapolis,"Hive, SQL, QlikView, Linear Algebra, Kubernetes",Big Data,Hive,5,63189,85491,74340.0,6,Senior,Telecommunications,Large (201-1000),PhD,On-site,0,84,24,149,"Gym Membership, Free Lunch",74340,22302
65,Data Governance Analyst,Senior,Company_Data43,San Diego,"LLM, Statistics, Jenkins, Machine Learning, Elasticsearch",ML/AI,LLM,5,69507,94040,81773.5,6,Senior,Telecommunications,Medium (51-200),Master's,Flexible,1,100,12,191,"Remote Work, Parental Leave",81774,24533
66,Healthcare Data Analyst,Mid,Company_Data58,Portland,"TensorFlow, Cassandra, MySQL, Spark, LangChain, Power BI",ML/AI,TensorFlow,6,67263,91004,79133.5,3,Mid,Finance,Startup,PhD,Remote,1,78,4,170,"Gym Membership, Unlimited PTO, Tuition Reimbursement",79134,23741
67,Operations Analyst,Senior,Company_Cloud48,San Francisco,"Computer Vision, Scikit-learn, Cassandra, SQL",ML/AI,Computer Vision,4,82747,111952,97349.5,6,Senior,Education,Startup,Bachelor's,On-site,0,94,25,61,"Health Insurance, Free Lunch, Gym Membership",97350,29205
68,ML Engineer,Mid,Company_Analytics48,Detroit,"R, Computer Vision, Scikit-learn",Programming,R,3,104231,141018,122624.5,3,Mid,Manufacturing,Enterprise (1000+),PhD,Hybrid,1,94,16,67,"Remote Work, Health Insurance, Gym Membership, Tuition Reimbursement",122625,36787
69,AI Research Scientist,Senior,Company_Data32,Denver,"QlikView, MongoDB, Looker, AWS, Kubernetes, Deep Learning",BI Tools,QlikView,6,126497,171144,148820.5,7,Senior,Finance,Small (11-50),Associate,On-site,0,83,22,165,"401k, Gym Membership, Unlimited PTO",148820,44647
70,Data Governance Analyst,Senior,Company_Analytics75,St. Louis,"PyTorch, SQL, Scala, Redis, JavaScript, Java",ML/AI,PyTorch,6,86884,117550,102217.0,6,Senior,Media,Large (201-1000),Associate,Remote,1,73,17,151,"Unlimited PTO, Free Lunch, 401k, Health Insurance",102217,30666
71,Marketing Analyst,Mid,Company_Data26,Minneapolis,"NLP, MySQL, Metabase, Storytelling, Docker, LangChain",ML/AI,NLP,6,49735,67288,58511.5,2,Mid,Media,Enterprise (1000+),Associate,Hybrid,1,75,20,75,"Health Insurance, Remote Work, Learning Stipend, Tuition Reimbursement",58512,17553
72,Supply Chain Analyst,Mid,Company_Digital30,Washington DC,"Terraform, MySQL, Looker",Cloud,Terraform,3,66198,89562,77880.0,6,Mid,Technology,Large (201-1000),Master's,Hybrid,1,91,10,96,"Health Insurance, Gym Membership, Parental Leave",77880,23364
73,Data Warehouse Engineer,Senior,Company_AI40,Detroit,"Kafka, Cassandra, Statistics",Big Data,Kafka,3,61149,82731,71940.0,3,Senior,Education,Small (11-50),Master's,Hybrid,1,92,11,10,"Gym Membership, Free Lunch, 401k, Remote Work",71940,21582
74,Database Administrator,Senior,Company_Digital10,Raleigh,"Hive, Agile, Statistics, Flink, SQL",Big Data,Hive,5,62439,84476,73457.5,2,Senior,Retail,Medium (51-200),High School + Certification,On-site,0,92,17,97,"Parental Leave, Tuition Reimbursement",73458,22037
75,Business Analyst,Mid,Company_Tech87,Minneapolis,"JavaScript, Airflow, PyTorch, Looker, Machine Learning",Programming,JavaScript,5,59690,80757,70223.5,4,Mid,Retail,Startup,Bachelor's,Remote,1,70,21,180,"Remote Work, Learning Stipend, Gym Membership",70224,21067
76,Analytics Manager,Lead,Company_Analytics100,Seattle,"Jenkins, Machine Learning, Java, Tableau, GCP",Cloud,Jenkins,5,91811,124215,108013.0,9,Lead,Telecommunications,Small (11-50),PhD,Remote,1,85,10,198,"Tuition Reimbursement, Stock Options, Learning Stipend, Parental Leave",108013,32404
77,Database Administrator,Mid,Company_Digital51,Philadelphia,"Scikit-learn, Docker, Jenkins, QlikView",ML/AI,Scikit-learn,4,62439,84476,73457.5,2,Mid,Finance,Medium (51-200),Bachelor's,Remote,1,76,23,189,"Unlimited PTO, Parental Leave",73458,22037
78,NLP Engineer,Mid,Company_Tech98,St. Louis,"Keras, Kafka, JavaScript, Metabase, Storytelling, Beam",ML/AI,Keras,6,121751,164722,143236.5,4,Mid,Real Estate,Enterprise (1000+),Associate,Flexible,1,78,20,79,"Stock Options, 401k",143236,42971
79,Analytics Manager,Senior,Company_Cloud9,Miami,"Beam, Looker, Leadership, Scala",Big Data,Beam,4,114463,154861,134662.0,11,Senior,Entertainment,Enterprise (1000+),High School + Certification,Hybrid,1,91,12,9,"Parental Leave, Free Lunch, Gym Membership, 401k",134662,40398
80,Healthcare Data Analyst,Mid,Company_AI10,Boston,"AWS, Redis, Excel",Cloud,AWS,3,65973,89258,77615.5,4,Mid,Consulting,Startup,PhD,Remote,1,100,14,26,"Remote Work, Stock Options, Unlimited PTO, Health Insurance",77616,23285
81,ML Engineer,Mid,Company_Digital12,Raleigh,"Data Visualization, Redis, C++, Docker, Kafka, R",Data Analysis,Data Visualization,6,83385,112814,98099.5,3,Mid,Retail,Small (11-50),Bachelor's,Hybrid,1,83,6,197,"Free Lunch, Parental Leave, Learning Stipend, 401k",98100,29429
82,Computer Vision Engineer,Senior,Company_Tech35,San Diego,"Data Visualization, Deep Learning, Probability, Leadership, Jenkins, JavaScript",Data Analysis,Data Visualization,6,86386,116876,101631.0,3,Senior,Technology,Small (11-50),Bachelor's,Remote,1,94,20,15,"Parental Leave, Tuition Reimbursement, Learning Stipend, Free Lunch",101631,30490
83,Sports Analyst,Mid,Company_Digital37,St. Louis,"Tableau, GCP, LLM",BI Tools,Tableau,3,61149,82731,71940.0,3,Mid,Education,Small (11-50),Associate,Flexible,1,100,2,10,"Stock Options, Tuition Reimbursement, Health Insurance",71940,21582
84,Business Analyst,Senior,Company_Analytics46,Boston,"Scala, Flink, LangChain, Redis, GCP, Probability",Programming,Scala,6,51357,69483,60420.0,2,Senior,Manufacturing,Medium (51-200),Master's,Hybrid,1,79,25,104,"Health Insurance, 401k, Learning Stipend",60420,18126
85,ML Engineer,Mid,Company_Digital75,Philadelphia,"RAG, NLP, Leadership",ML/AI,RAG,3,90270,122129,106199.5,6,Mid,Insurance,Startup,Bachelor's,Flexible,1,91,9,138,"401k, Unlimited PTO",106200,31859
86,Supply Chain Analyst,Senior,Company_AI31,Minneapolis,"Java, C++, Cassandra, RAG, Deep Learning",Programming,Java,5,93099,125957,109528.0,3,Senior,Real Estate,Large (201-1000),PhD,Remote,1,98,1,166,"401k, Health Insurance, Remote Work, Tuition Reimbursement",109528,32858
87,Database Administrator,Mid,Company_Analytics2,St. Louis,"SQL, Python, Leadership, LLM, LangChain, Java",Programming,SQL,6,66198,89562,77880.0,6,Mid,Insurance,Large (201-1000),PhD,Flexible,1,78,9,196,"Parental Leave, Stock Options, Gym Membership",77880,23364
88,Data Warehouse Engineer,Senior,Company_Data14,Denver,"Elasticsearch, Communication, Linear Algebra, Computer Vision",Databases,Elasticsearch,4,74669,101022,87845.5,7,Senior,Entertainment,Enterprise (1000+),High School + Certification,Remote,1,83,1,124,"Tuition Reimbursement, Free Lunch, 401k",87846,26353
89,Data Warehouse Engineer,Mid,Company_AI49,Atlanta,"Jenkins, Hive, Flink, Power BI, Redis, Metabase",Cloud,Jenkins,6,79437,107474,93455.5,6,Mid,Retail,Medium (51-200),Bachelor's,Flexible,1,69,4,193,"Remote Work, Learning Stipend, Parental Leave",93456,28037
90,Database Administrator,Mid,Company_AI24,Salt Lake City,"Agile, Hive, NLP, Cassandra, QlikView, JavaScript",Soft Skills,Agile,6,78063,105614,91838.5,7,Mid,Consulting,Startup,PhD,Flexible,1,65,20,145,"Free Lunch, Remote Work, Stock Options",91839,27551
91,AI Research Scientist,Mid,Company_Digital21,Washington DC,"Elasticsearch, Cassandra, JavaScript, Machine Learning, NLP",Databases,Elasticsearch,5,97942,132511,115226.5,6,Mid,Healthcare,Large (201-1000),PhD,Hybrid,1,100,26,190,"Free Lunch, 401k, Health Insurance",115227,34569
92,Marketing Analyst,Senior,Company_Cloud41,Salt Lake City,"Hadoop, AWS, Agile",Big Data,Hadoop,3,70499,95381,82940.0,2,Senior,Consulting,Startup,Master's,Hybrid,1,92,16,5,"Health Insurance, Tuition Reimbursement",82940,24882
93,AI Research Scientist,Senior,Company_Tech17,Seattle,"Excel, Docker, MySQL",Data Analysis,Excel,3,90472,122404,106438.0,3,Senior,Consulting,Medium (51-200),Master's,Flexible,1,84,12,150,"Learning Stipend, Parental Leave, Free Lunch",106438,31932
94,Computer Vision Engineer,Senior,Company_Analytics23,Austin,"Probability, Java, Airflow, Leadership, JavaScript, PostgreSQL",Data Analysis,Probability,6,82273,111310,96791.5,3,Senior,Retail,Large (201-1000),PhD,On-site,0,87,15,52,"Health Insurance, Gym Membership",96792,29037
95,Data Architect,Mid,Company_Cloud85,Austin,"MySQL, Elasticsearch, NLP, TensorFlow, Terraform",Databases,MySQL,5,84635,114507,99571.0,3,Mid,Healthcare,Startup,PhD,Remote,1,91,4,19,"Remote Work, Gym Membership, Health Insurance",99571,29872
96,Financial Analyst,Senior,Company_Digital81,Dallas,"Leadership, Statistics, SQL, Deep Learning, Scikit-learn",Soft Skills,Leadership,5,64206,86867,75536.5,3,Senior,Technology,Small (11-50),Associate,Remote,1,100,22,179,"Tuition Reimbursement, Stock Options, 401k",75537,22661
97,AI Research Scientist,Mid,Company_AI45,Washington DC,"Hive, Linear Algebra, Excel, Scikit-learn, TensorFlow, RAG",Big Data,Hive,6,114543,154970,134756.5,5,Mid,Insurance,Small (11-50),Bachelor's,Remote,1,100,23,182,"Stock Options, Tuition Reimbursement",134757,40427
